,Backend,Algorithm,Qubits,Bitstring,Mean TVD,TVD Std,CoV,N Runs,Ideal Counts,Noise Counts
30,fake_guadalupe,BV,2,00,0.02266666666666668,0.012576204496597135,55.48325513204616,30,{'000': 100},"{'000': 96, '010': 3, '001': 1}"
31,fake_guadalupe,BV,3,001,0.031666666666666676,0.018769625744130138,59.27250234988463,30,{'0100': 100},"{'0100': 97, '0110': 2, '0000': 1}"
32,fake_guadalupe,BV,4,1000,0.05300000000000001,0.015346570997434899,28.95579433478282,30,{'00001': 100},"{'00001': 94, '00101': 3, '00000': 2, '01001': 1}"
33,fake_guadalupe,Grover,2,11,0.05500000000000001,0.017955884637172518,32.647062976677304,30,{'11': 100},"{'11': 95, '01': 2, '10': 3}"
34,fake_guadalupe,Grover,3,101,0.36866666666666664,0.052241701755387435,14.170443514119558,30,"{'111': 1, '001': 2, '110': 1, '101': 96}","{'001': 12, '101': 54, '000': 1, '100': 15, '111': 8, '110': 2, '011': 5, '010': 3}"
35,fake_guadalupe,Grover,4,1011,0.8426666666666668,0.03522668789752853,4.180382266320632,30,"{'0100': 1, '0001': 1, '0011': 1, '0010': 1, '0000': 2, '1000': 1, '1101': 93}","{'0001': 9, '1000': 5, '0010': 4, '1001': 3, '0101': 6, '1100': 9, '0110': 6, '1011': 8, '0111': 5, '1111': 6, '1101': 12, '1110': 11, '0100': 8, '1010': 4, '0000': 3, '0011': 1}"
36,fake_nairobi,DJ,2,,0.022333333333333344,0.01735696885450026,77.71777099029963,30,{'1': 100},"{'1': 97, '0': 3}"
37,fake_nairobi,DJ,3,,0.03766666666666668,0.018323403789601466,48.646204751154315,30,{'00': 100},"{'00': 99, '01': 1}"
38,fake_nairobi,DJ,4,,0.10233333333333333,0.03103761159195942,30.329913607777932,30,{'111': 100},"{'111': 93, '011': 2, '101': 1, '110': 3, '010': 1}"
39,fake_nairobi,BV,2,11,0.052000000000000005,0.02845444029345495,54.72007748741336,30,{'011': 100},"{'011': 94, '001': 4, '010': 2}"
40,fake_nairobi,BV,3,101,0.07933333333333334,0.03300296050809458,41.600370388354506,30,{'0101': 100},"{'0101': 93, '0001': 2, '0111': 1, '0100': 4}"
41,fake_nairobi,BV,4,0010,0.091,0.033461248817307956,36.77060309594281,30,{'00100': 100},"{'00100': 91, '00110': 2, '00000': 2, '00101': 4, '01100': 1}"
42,fake_nairobi,Grover,2,00,0.06233333333333334,0.020288154065914877,32.54784074745702,30,{'00': 100},"{'00': 94, '10': 3, '01': 3}"
43,fake_nairobi,Grover,3,011,0.35833333333333334,0.06275751546330079,17.513725245572314,30,"{'001': 1, '100': 1, '101': 2, '110': 96}","{'011': 3, '110': 65, '101': 3, '010': 5, '100': 9, '001': 4, '111': 8, '000': 3}"
44,fake_nairobi,Grover,4,0011,0.8113333333333335,0.042970184798406384,5.296242990764961,30,"{'0000': 1, '1100': 99}","{'1000': 8, '1110': 10, '1011': 5, '0101': 8, '1010': 9, '1100': 12, '0111': 5, '0011': 4, '1111': 5, '0110': 4, '0000': 8, '0001': 3, '0100': 3, '1101': 6, '0010': 3, '1001': 7}"
